OBJECTID,ProvNo,PovName,DistNo,DistName,regular_radio_listener_pct,comm_risk_index,comm_risk_pct,female_literacy_pct,has_no_soap_pct,male_literacy_pct,has_no_drinkwater_pct,has_no_water_handwashing_pct,prox_risk_index,socioecon_risk_index,time_to_water_greater_30_pct,shares_toilet_with_others_pct,WASH_risk_index,Shape__Area,Shape__Length
1,101,CENTRAL,101001,CHIBOMBO,53.1551361083984,1.80364429950714,19.4830207824707,68.5531387329102,53.4480094909668,77.4142608642578,92.2240982055664,64.2485198974609,3.65025234222412,2.85355734825134,20.6527252197266,35.7542762756348,1.74222266674042,0.689784034290739,5.23347026193509
2,101,CENTRAL,101002,CHISAMBA,50.85693359375,1.65979206562042,20.0502166748047,68.6706161499023,55.4600067138672,75.6486206054688,98.0238647460938,66.6783447265625,3.67075204849243,3.02977538108826,26.92333984375,33.5163650512695,2.16985321044922,0.437887310607039,3.77492975898174
3,101,CENTRAL,101003,CHITAMBO,44.854793548584,3.20932841300964,27.8944473266602,57.4095306396484,72.7095489501953,75.8764038085938,97.9650268554688,70.3582992553711,1.84369242191315,3.94705128669739,21.158166885376,22.2779140472412,2.18015789985657,0.995701760361243,9.03629264518757
4,101,CENTRAL,101004,ITEZHI-TEZHI,30.9243335723877,4.41633605957031,35.5328826904297,60.1846733093262,75.6914901733398,74.2761764526367,96.3147277832031,77.8982543945313,3.95593023300171,3.61097121238709,33.4013710021973,45.3405838012695,4.25723314285278,1.32963901707623,7.54756967436064
5,101,CENTRAL,101005,KABWE,63.7746047973633,1.02706027030945,7.56658029556274,82.7084655761719,47.4285049438477,93.1805877685547,64.3190765380859,44.2992630004883,4.58909511566162,1.60604798793793,4.39656019210815,43.5737609863281,1.06507754325867,0.13179567244822,2.16613785518351
6,101,CENTRAL,101006,KAPIRI MPOSHI,52.6083946228027,1.44926881790161,16.4508171081543,68.3081283569336,60.3056907653809,77.7300415039063,94.0565338134766,60.7799491882324,3.11622309684753,2.99283885955811,21.772798538208,32.9966239929199,1.95755839347839,0.812702931076416,6.27938701231023
7,101,CENTRAL,101007,LUANO,40.1100311279297,3.50454449653625,29.7916851043701,55.4658241271973,66.7144622802734,72.5133285522461,98.6559600830078,65.4561233520508,3.85115194320679,3.86841607093811,32.2139930725098,32.1689682006836,2.82383942604065,0.77038900886879,6.14771354823606
8,101,CENTRAL,101008,MKUSHI,53.733528137207,1.12796139717102,15.4561758041382,64.1492767333984,59.3844528198242,78.47509765625,90.6368026733398,57.5120849609375,2.08534717559814,3.18336248397827,20.3920497894287,28.0576438903809,1.63343489170074,0.706889691599315,5.08335843805662
9,101,CENTRAL,101009,MUMBWA,44.4527015686035,2.31938171386719,23.626636505127,67.6331253051758,59.3810157775879,74.5018310546875,92.9935073852539,67.661506652832,3.8199565410614,2.9773313999176,24.032751083374,32.7375640869141,2.21358203887939,1.66116360982559,7.94384431057058
10,101,CENTRAL,101010,NGABWE,39.208366394043,3.10156893730164,27.2034397125244,53.4721641540527,80.2050857543945,74.3510513305664,99.3175811767578,73.8798141479492,1.93556654453278,4.0066442489624,26.5060329437256,32.0162467956543,3.63718867301941,0.602456515725152,5.04604440047884
11,101,CENTRAL,101011,SERENJE,50.4052619934082,2.18969178199768,21.5251941680908,60.5014457702637,58.6561508178711,76.0955429077148,94.5431289672852,56.4211044311523,2.31126880645752,3.66947388648987,20.9386615753174,24.0573825836182,1.46383082866669,0.961318095887918,6.41241265901688
12,101,CENTRAL,105008,SHIBUYUNJI,48.8912582397461,1.65950882434845,20.2399482727051,66.4977874755859,56.4060668945313,70.8338317871094,93.2535781860352,68.4969100952148,4.34234237670898,2.88368105888367,27.4457397460938,38.9900054931641,2.30151534080505,0.145560225985975,2.67178340035278
