district,province,city_muni_council_,new_district_,audited_,district_2,ï__objectid,provno,distno,shape__area,shape__length,population_2019_projection_scale,pop_density_km2_scale,poverty_incidence_3_scale,local_taxes_scale,fees_and_charges_scale,other_receipts_scale,lgef_scale,est_revenue_scale,%_of_revenue_raised_via_osr_scale,regular_radio_listener_pct_scale,comm_risk_index_scale,comm_risk_pct_scale,female_literacy_pct_scale,has_no_soap_pct_scale,male_literacy_pct_scale,has_no_drinkwater_pct_scale,has_no_water_handwashing_pct_scale,prox_risk_index_scale,socioecon_risk_index_scale,time_to_water_greater_30_pct_scale,shares_toilet_with_others_pct_scale,wash_risk_index_scale,educ_scale,land_scale,stunt_scale,supplies_contracts_loans_scale,personal_emoluments_scale,statutory_obligations_scale,third_party_payments_scale,total_debts_scale,nr_wards_scale,nr_wdc_scale,pct_wards_wdc_scale,nr_remaining_scale,osr_rate_scale,lgef_per_inh_scale,debt_per_inh_scale,population_2019_projection_standard,pop_density_km2_standard,poverty_incidence_3_standard,local_taxes_standard,fees_and_charges_standard,other_receipts_standard,lgef_standard,est_revenue_standard,%_of_revenue_raised_via_osr_standard,regular_radio_listener_pct_standard,comm_risk_index_standard,comm_risk_pct_standard,female_literacy_pct_standard,has_no_soap_pct_standard,male_literacy_pct_standard,has_no_drinkwater_pct_standard,has_no_water_handwashing_pct_standard,prox_risk_index_standard,socioecon_risk_index_standard,time_to_water_greater_30_pct_standard,shares_toilet_with_others_pct_standard,wash_risk_index_standard,educ_standard,land_standard,stunt_standard,supplies_contracts_loans_standard,personal_emoluments_standard,statutory_obligations_standard,third_party_payments_standard,total_debts_standard,nr_wards_standard,nr_wdc_standard,pct_wards_wdc_standard,nr_remaining_standard,osr_rate_standard,lgef_per_inh_standard,debt_per_inh_standard,zmb_score1,zmb_score2,zmb_score_tot
Chadiza,Eastern,"","",X,Chadiza,23,103,103001,0.133898263736285,1.79200651156611,1.4784405656291777,3.2004183818071392,1.8484848484848477,1.000802349813442,1.0166667557096125,1.1714400583018203,1.319616681368225,1.0728917465190129,2.269863875606956,2.664559131540443,3.697948854466184,3.591719341498224,2.5327193052298065,2.996644615889704,1.4476000344813664,1.192598290408478,2.2433471871838218,2.9751223303604077,2.1076017476549604,2.375532478024169,3.1612623547310874,2.7993501346289382,5,3.4231815959696688,5,1.0094637750008972,1.3228633938336394,1.0116486085512801,1.0663627479641353,4.9797305436753625,2.931034482758621,2,2.555555556,3.4444444444444446,2.269863875606956,2.3020708326441524,4.496201386144001,78375,84.63,81,25000,583248,4177368,9249049,15634665,30.6090088914601,44.0245590209961,2.30142903327942,23.0780944824219,54.6219215393066,64.3511428833008,69.5424728393555,96.5072784423828,71.7896041870117,3.02056264877319,3.70369338989258,25.7134761810303,41.5764503479004,3.15597987174988,2.442622950819672,63.33333333333333,0,75987,2732679.57,2735573.64,56486.53,5600726.74,18,7,38.888888900000005,11,0.306090088914601,118.01019457735248,71.460628261563,2.6204264432048574,3.4361108576687185,3.0282686504367877
Petauke,Eastern,"","",X,Petauke,29,103,103007,0.292190240850175,3.39343689990595,3.6278502701990245,2.0753762062217422,1.7878787878787872,1.0341039679703294,1.123108508492721,1.1915202941359702,1.3939504067431148,1.1636755496228854,2.700751625331118,2.1653788313383466,4.138956713358213,3.7868793087685573,2.416879764759837,4.9076241078663765,1.413485180721732,1.3150434565014937,2.5323600573025344,1.5057908687621513,2.4232069241844014,2.9071679304167075,3.011265129115186,4.236974498566257,2.5040988358176355,4.713845744076289,2.986751402051845,1.0822461966013388,1.6581276903414515,1.0306877476594003,1.1806023282184648,4.947483157756832,2.655172413793103,1,1,4.555555555555555,2.700751625331118,1.1107665268952154,4.720786518396631,306681,42.95,82,958865,3975090,4666650,10007476,24408081,39.333714928264904,50.7133369445801,1.86064302921295,20.3099365234375,53.2385749816895,41.3642616271973,69.3145141601563,94.4250564575195,68.9074630737305,4.41553640365601,3.41985869407654,21.3953323364258,43.7290992736816,1.78033232688904,1.1315513176950893,88.61504582631211,34.225226165118634,660375.14,5570318.99,7056707.51,153724.78,13441126.42,16,0,0,16,0.393337149282649,32.631548742830496,43.82771159608844,2.6320309881643977,2.786516657814872,2.709273822989635
Lundazi,Eastern,"","",X,Lundazi,26,103,103004,0.114621620873265,2.34991222754889,4.777325876970005,1.739860989270531,1.666666666666666,1.0109051107444025,1.1694711977709094,1.0633183949008715,1.4508294619229638,1.1127999993129194,2.6087531764822707,2.1666724583092023,3.3033504651740895,3.5752299196326587,2.5117712322725203,2.0081342813272625,2.6128610909240364,1.714881629557393,1.916719678524367,3.62203842498013,2.6675716263685296,2.2401341616032067,3.1547853806238977,2.2887542469713242,2.803339503918442,3.957615345479212,2.7336441912264493,1.017500986832719,1.2376515870185836,1.0542429153386736,1.245375162501943,4.942043705996665,1.6896551724137931,2,4.111111112,1.4444444444444444,2.6087531764822707,1,4.797149295977085,428776,30.52,84,308308,5452470,1542838,10587813,19491429,37.470910932184594,50.6960029602051,2.69582891464233,23.3119812011719,54.3717613220215,76.2417831420898,77.328857421875,87.6256713867188,75.0468521118164,2.40638470649719,3.20009303092957,26.813232421875,41.6694030761719,3.64456367492676,1.2887394135437238,73.80189746093065,38.528048749150365,140519.77,2011456.39,12402801.8,208858.01,14763635.97,9,7,77.77777780000001,2,0.374709109321846,24.693110155419145,34.432048365580165,3.458867892285872,2.4008351682110805,2.9298515302484764
Mambwe,Eastern,"","","",Mambwe,27,103,103005,0.479399417264801,4.74412083122958,1.6474043947353556,1.3552196504487481,1.8484848484848477,1.0629036548139819,1.0281471841329146,1.0449185094086377,1.2636479466823483,1.0568881373587664,2.0938293378307202,3.7459171188729563,2.158750763919797,3.0143008660916784,1.959165424786808,3.3002858680706595,2.382518749240017,1.2822146154136886,2.321286285070546,2.0907832533283726,2.2824589701194937,1.5707004670300648,3.135929935338572,2.8115213520319156,2.6782790285030282,4.1818004976103,3.211026277201694,1.0300470827258765,1.291518899037686,1.0135898468880433,1.0103762867963673,4.978525843163905,2.2413793103448274,2.857142857142857,5,1,2.0938293378307202,1.9125459543858971,4.5797019042278055,96322,16.27,81,1766484,949080,1094500,8678000,14088064,27.0446244423648,29.5348777770996,3.83985280990601,31.2682247161865,47.7725868225098,60.6986885070801,75.7896881103516,94.9833221435547,71.0123672485352,3.86014842987061,3.54643821716309,32.2506256103516,41.9400024414063,3.14433336257935,1.2230464109139758,78.19326803528757,30.412553287571203,241255.49,2467383.28,3176158.2,8832.07,5893629.04,13,13,100,0,0.270446244423648,90.0936442349619,61.18673864745333,3.0466963182359557,2.501695386201659,2.7741958522188073
Nyimba,Eastern,"","","",Nyimba,28,103,103006,0.88463235900889,5.35975666323288,1.6918789659003182,1.174370740265875,2.03030303030303,1.0575346508023538,1.1506386657289756,1.0044486766403633,1.0592108203469568,1.0639321939128317,2.9574241877108483,3.3433864682284478,4.1341951255118445,3.7235763558319204,2.129517615022064,4.058713037913336,1,1.1598143140126913,2.5488921063654404,1.2959424114996176,2.0485192764502225,2.367050783453504,3.33539878199554,3.7783324598717662,2.7718631245192307,4.586635233656664,3.024038355418539,1.0115833046524627,1.238804970679141,1.0319297557739702,1.1091243416765502,4.963504948413071,2.2413793103448274,1.5714285714285714,2.230769232,3,2.9574241877108483,1.5657427717928074,4.309202989632675,101046,9.57,78,1615923,4852358,108398,6592128,14768807,44.5308751072446,34.928596496582,1.86540222167969,21.2078285217285,49.8069190979004,51.57568359375,66.5515670776367,97.0647811889648,68.7425994873047,4.61476516723633,3.75682830810547,25.7823677062988,39.0773735046387,2.21920204162598,1.2722051898589122,86.12322829559973,33.591347957884835,93005.23,2021218.5,7338594.38,92884.27,9545702.38,13,4,30.769230800000003,9,0.445308751072446,65.23888130158542,94.46887932228887,2.55100362940733,2.746810917026926,2.648907273217128
Katete,Eastern,"","","",Katete,25,103,103003,0.206781302924412,3.2403321873615,2.647093712930012,3.162359133544774,1.7878787878787872,1.0248692068975462,1.1411409014448295,1.0120796111332122,1.3719621679898069,1.0697088660196112,2.544549497509611,2.332333576617903,4.205166316253493,3.7794581007349164,2.5871118464917524,3.565243399335027,1.5060916119522498,1.3251685201953336,2.3232945514776113,2.8243066062789364,2.489656146905035,2.6871665951351145,2.9761772442690684,3.3785940903418745,2.538460803283164,4.454130505320645,2.48950412414979,1,1.507023551647308,1.0259839535219921,1.1344816262553032,4.9600118475039165,3.206896551724138,3.857142857142857,5,1,2.544549497509611,1.3295320661559786,4.659799778314035,202507,83.22,82,699898,4549705,294336,9783130,15327069,36.1709012988719,48.4762229919434,1.7944667339325,20.4151992797852,55.2714729309082,57.5115547180176,69.9333190917969,94.2528762817383,70.9923400878906,3.16374611854553,3.36009860038757,23.1822662353516,44.2326545715332,2.60170745849609,1.1496013116006625,83.52770687303152,42.67842988945357,0,4291390.5,5989131.71,114467.84,10394990.05,20,20,100,0,0.361709012988719,48.31008310823823,51.33150977497075,3.2361950109819273,2.5563099304290735,2.8962524707055004
Sinda,Eastern,"",X,"",Sinda,30,103,103008,0.219774473806069,2.64988475226838,2.5134158052307516,2.880828665901883,1.6060606060606055,1.0036770087250417,1.0369588504086342,1.0353549093652437,1.2307534058610212,1.053279577273205,1.547885992200531,2.3928425226772134,4.227277292033726,3.7506371129217433,2.334424957780347,4.682485619584182,1.0919384975831732,1.1578120028080807,2.312848505945429,2.2067563274649116,2.1139303460494916,2.548566420814678,2.993270108387044,4.014830657930991,2.2082628981926917,4.937500947248139,2.8388473186134924,1.0488948905188744,1.1521172440316558,1.0022318640604861,1.0535033621070349,4.993207739498008,2.793103448275862,2.7142857142857144,3.823529412,2.111111111111111,1.547885992200531,1.2736032671096045,4.976690224748045,188308,72.79,85,105613,1229870,861470,8342377,13739330,15.9902484327838,47.6654319763184,1.77236688137054,20.8239974975586,52.25390625,44.0724182128906,67.1659088134766,97.0988311767578,71.0965118408203,3.75004434585571,3.69800186157227,24.3080291748047,43.9873504638672,1.9928994178772,0.9761516923233302,92.99603568524974,36.739595583570626,392589.22,1287503.3,598343.94,45540.9,2323977.36,17,12,70.58823530000001,5,0.159902484327838,44.301766255283894,12.341362873590075,2.8270249402577865,2.6004852877156255,2.713755113986706
Vubwi,Eastern,"",X,"",Vubwi,31,103,103009,0.0791461535154099,2.04708460948945,1.264908019356418,1.8408124704770903,1.6060606060606055,1.000338769921231,1.0213590095821796,1.0971026544044633,1.2670249926492207,1.0500090422506287,1.9027073052633028,3.6929534286283623,1.8630411665109001,2.8648115574006066,2.3929433539069778,2.1889162439137975,1.8390319871711074,1,1.8257279965725637,2.7389539796762743,1.8441624399461496,1.796390471737018,3.5144029741397462,2.0293801699339777,2.607518067315728,4.046842487321497,3.2214708874436515,1.0249089317933255,1.167250914470923,1.0082680253117076,1,4.988025675307322,1.5517241379310345,1.8571428571428572,4,1.4444444444444444,1.9027073052633028,2.8382106296273677,4.553992857538694,55694,34.26,85,12000,732770,2366037,8712456,13423263,23.1747452165692,30.2445659637451,4.135413646698,33.3885879516602,52.9527282714844,74.0671844482422,72.1580581665039,99.7824783325195,75.9542541503906,3.24477934837341,3.94061350822449,30.4174861907959,36.5084381103516,3.89275598526001,1.1858763938168881,75.54969137767972,30.234994913457925,200000,1415592.99,1968314.54,0,3583907.53,8,6,75,2,0.231747452165692,156.4343735411355,64.34997540129996,2.9119637623571566,2.371474616932188,2.6417191896446726
Chipata,Eastern,X,"","",Chipata,24,103,103002,0.140754408078209,2.21100220314873,5,2.740738241446791,2.3939393939393936,1.1996555151371777,1.591099120177121,1.6285550648079923,1.7278400470449866,1.494912286650717,4.242542966298401,1.7405689862648739,4.642431027762554,4.269901814525236,3.621521734807615,4.037569725780872,3.1216404222025664,2.475103068217771,3.314312819051369,2.340894691044424,3.618058601967492,3.7881396995727963,3.28690400996519,4.365699405700433,3.266944440435066,3.1184683190755433,3.0486025609172382,1.296430284669348,4.394795752843202,1.1356230217844143,1.565785192699083,4.745837791288191,1.6896551724137931,1.1428571428571428,1.444444444,2.7777777777777777,4.242542966298401,1.0691539861141812,3.9548189374587563,452428,67.6,72,5601366,18887943,15315591,13414152,56419052,70.5522311860185,56.4055862426758,1.35742199420929,13.4587230682373,67.6243133544922,51.8300132751465,80.7285690307617,74.6978454589844,61.109546661377,3.62269425392151,2.34528708457947,14.2397470474243,39.7733345031738,1.65715682506561,1.5322663968898713,57.364566423264684,33.17375646440695,2380112.38,28733170.67,30872877.17,481584.07,62467744.29,9,1,11.1111111,8,0.705522311860185,29.649252477742316,138.07223312880723,3.1421920667742675,3.3393415071599493,3.240766786967108
Chasefu,Eastern,"",X,"",Chasefu,32,103,103010,0.243202814224361,2.9697634455963,,,1.4848484848484844,1.0001387173677463,1.0091236003288577,1.044023012035137,1.1215328824855435,1.00061670663755,1.5700397970435558,2.6041002907511346,2.5278589206511017,3.1685652544608356,1.6678658883145876,1.3857900489813826,1.99186776512256,1.0211079402990002,1,2.858797678077467,1.8029024810096654,1.0700505923194914,3.1803299158015985,1,2.8538110812972057,4.097494734381608,3.0163817586727912,1,1,1.0044673272483402,1.0138100210110506,4.998170115011081,,,,,1.5700397970435558,,,,,87,6390,342880,1072680,7228000,8649950,16.4388233457997,44.8346786499023,3.47093033790588,29.0801315307617,44.2939109802246,83.7278671264648,73.1793212890625,99.4235305786133,84.1887130737305,3.13100051879883,3.97772002220154,36.3170928955078,41.302806854248,4.87775897979736,1.3152516225726527,76.54187478122095,33.721510102562554,0,0,1105705.94,11754.79,1117460.73,,,,,0.164388233457997,,,1.5700397970435558,2.004581442626614,1.7873106198350848
