ProvNo,PovName,DistNo,DistName,female_literacy_pct,mrp_estimate,mrp_estimate_se,post_lit_MR_est,post_lit_MR_err,post_lit_MR_lower,post_lit_MR_upper,post_lit_IO_est,post_lit_IO_err,post_lit_IO_lower,post_lit_IO_upper,fraym_mrp_err_sq,fraym_mr_err_sq,fraym_io_err_sq
NA,NA,NA,Itezhi-tezhi,NA,0.659492859,0.101652905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Chiengi,NA,0.474887436,0.103089903,0.633585532,0.51088615,0.612507312,0.653257038,0.582400672,0.508441529,0.566239177,0.597973184,NA,NA,NA
NA,NA,NA,Milengi,NA,0.578733434,0.101707552,0.619072739,0.518995268,0.582550963,0.654795179,0.5482899,0.522312637,0.507164792,0.589416212,NA,NA,NA
NA,NA,NA,Mushindano,NA,0.694108466,0.101743435,0.662184786,0.518637624,0.627226817,0.695062388,0.645211113,0.519868533,0.606636584,0.679589414,NA,NA,NA
NA,NA,NA,Lunte District,NA,0.518079004,0.101627693,0.637962161,0.515509864,0.609248975,0.665316499,0.587109712,0.515977906,0.556952026,0.616248545,NA,NA,NA
NA,NA,NA,Chikankanta,NA,0.714688106,0.10151633,0.701823746,0.515358604,0.676221729,0.726271095,0.695590183,0.514759743,0.671984201,0.718641989,NA,NA,NA
NA,NA,NA,Shang'ombo,NA,0.624488967,0.102654764,0.611262292,0.515742914,0.58155675,0.639036063,0.557918143,0.514434975,0.529032165,0.585283776,NA,NA,NA
NA,NA,NA,Shiwamg'andu,NA,0.578733434,0.101707552,0.72061118,0.513418944,0.699147374,0.741195346,0.696344597,0.511284894,0.67765333,0.714257238,NA,NA,NA
103,EASTERN,103011,Chipangali,44.06386566,0.744163139,0.10253986,0.643775921,0.513038097,0.6195099,0.667768694,0.612102603,0.511506749,0.590625121,0.633755559,0.092127111,0.041264748,0.029399885
103,EASTERN,103013,Lumezi,42.51058578,0.691506418,0.102178403,0.644942447,0.513980428,0.61831648,0.670510129,0.605285433,0.513246044,0.58108614,0.629616116,0.070969258,0.048328126,0.032464679
107,NORTHERN,107009,Nsama,39.49162674,0.645525411,0.101930556,0.643167593,0.516472594,0.611644793,0.671129663,0.591039241,0.517035236,0.559118926,0.623692591,0.062804943,0.061628721,0.038464221
103,EASTERN,103010,Chasefu,44.29391098,0.691506418,0.102178403,0.640066843,0.513316014,0.614432578,0.662789306,0.602254895,0.511080858,0.579113346,0.623719953,0.061785706,0.038859343,0.02538152
103,EASTERN,103012,Kasenengwa,50.71514511,0.744163139,0.10253986,0.657572934,0.512882334,0.634078253,0.679968589,0.632308335,0.510691216,0.612913274,0.650911433,0.05617454,0.022626622,0.015664246
107,NORTHERN,107001,Chilubi,36.31830978,0.578733434,0.101707552,0.619397232,0.51283008,0.594386195,0.642506199,0.561518834,0.511762497,0.538764535,0.583873958,0.046461947,0.065645683,0.039337064
107,NORTHERN,107010,Senga Hill,46.23339081,0.665264969,0.101762254,0.639198997,0.512764956,0.61583185,0.661320215,0.607215554,0.511308551,0.586078213,0.62843409,0.041181016,0.03128126,0.020990691
109,SOUTHERN,109012,Sinazongwe,53.45228958,0.736253561,0.101809025,0.657886907,0.514016485,0.633319272,0.681317638,0.637459858,0.513247466,0.613766552,0.659669405,0.040695261,0.015218679,0.010596018
107,NORTHERN,107008,Mungwi,47.7564888,0.676538349,0.102157364,0.664090586,0.510699404,0.644377985,0.682735738,0.623316465,0.508168131,0.608569083,0.63798705,0.039590438,0.034791836,0.021243522
103,EASTERN,103008,Sinda,52.25390625,0.720292957,0.101907789,0.643309385,0.512604201,0.620818583,0.665746454,0.604886907,0.510523734,0.585711079,0.624174859,0.039106603,0.014585471,0.006781168
107,NORTHERN,107002,Kaputa,45.17672348,0.647289727,0.101970662,0.653151468,0.51370671,0.627978474,0.677120543,0.64309482,0.512942577,0.620375385,0.665610881,0.038229045,0.04055561,0.036606245
110,WESTERN,110003,Limulunga,57.63706589,0.769778818,0.101821727,0.676036278,0.515811694,0.648584344,0.701934698,0.648635769,0.515017561,0.61979917,0.676726699,0.037406716,0.009933236,0.005222246
